kind,distance,left_split,left_index,left_label,left_filename,left_sha256,right_split,right_index,right_label,right_filename,right_sha256,cross_split
exact_or_same_phash,,train,19,Bracelet,IMG_0430-1-_e8eb3b89_JPG.rf.62b80097d93c6ac7ad7e225a9fe7f598.jpg,8ec6e50394593ee68148194a272a77279684acb454f802de0a5a1deaf42af1c4,train,38,Bracelet,IMG_0436-1-_9a934624_JPG.rf.9db9c5a7e6d4e4f6806266d5abfeb067.jpg,106b15179435a8532561a6492a1d524574c1b4b835880cb48663a856437995a6,False
exact_or_same_phash,,train,38,Bracelet,IMG_0436-1-_9a934624_JPG.rf.9db9c5a7e6d4e4f6806266d5abfeb067.jpg,106b15179435a8532561a6492a1d524574c1b4b835880cb48663a856437995a6,train,132,Bracelet,IMG_1685_c6b74b54_JPG.rf.0d533dbf0f752f0fc705ea5d21861e01.jpg,f9baf2485c73b8cf67eff3739ab4b8b5066be061b1035a1c00d5407c744c7bb0,False
exact_or_same_phash,,train,132,Bracelet,IMG_1685_c6b74b54_JPG.rf.0d533dbf0f752f0fc705ea5d21861e01.jpg,f9baf2485c73b8cf67eff3739ab4b8b5066be061b1035a1c00d5407c744c7bb0,train,1546,Earrings,images-78-_jpeg.rf.e02ed8bcfaa2175a871f742b9ea081f7.jpg,c51a4936d78a96a0ef84f17d3e124f2a5fa5f4b9b6cd1f5e44ac1a0536bf7f0a,False
exact_or_same_phash,,train,1546,Earrings,images-78-_jpeg.rf.e02ed8bcfaa2175a871f742b9ea081f7.jpg,c51a4936d78a96a0ef84f17d3e124f2a5fa5f4b9b6cd1f5e44ac1a0536bf7f0a,train,1673,Necklace,IMG_0246_5ca42499_JPG.rf.e01d67abfc0c4d79fadd14409ec693aa.jpg,dece986d98decdd3e77bfa6709d984c9fc17ae98a16a74dd1599c98aaf07e339,False
exact_or_same_phash,,train,1673,Necklace,IMG_0246_5ca42499_JPG.rf.e01d67abfc0c4d79fadd14409ec693aa.jpg,dece986d98decdd3e77bfa6709d984c9fc17ae98a16a74dd1599c98aaf07e339,train,2098,Necklace,IMG_0597-1-_ef4736be_JPG.rf.989535f1384c367d59fc8ef098b05177.jpg,2028a2f92a6fb86517916bb4ebf3caa06c1bea0caecdef25f3b41e37024d10ef,False
exact_or_same_phash,,train,2098,Necklace,IMG_0597-1-_ef4736be_JPG.rf.989535f1384c367d59fc8ef098b05177.jpg,2028a2f92a6fb86517916bb4ebf3caa06c1bea0caecdef25f3b41e37024d10ef,train,2616,Necklace,IMG_1660_f168ee6d_JPG.rf.a7526c0f02944b43ab2f4ce87ab64241.jpg,f59f90aedca230934a9253a84dfc4fa6f9533cb1ccc2e8f52f3dce998b6770b4,False
exact_or_same_phash,,train,2616,Necklace,IMG_1660_f168ee6d_JPG.rf.a7526c0f02944b43ab2f4ce87ab64241.jpg,f59f90aedca230934a9253a84dfc4fa6f9533cb1ccc2e8f52f3dce998b6770b4,train,3196,Necklace,IMG_3111_83880235_JPG.rf.8f8300b7b1d3796dfb09740877b9bc2c.jpg,f859b14d4e403f78b895bd423e3ae5823baf06531edf4bc5afbe001e3c230e1d,False
exact_or_same_phash,,train,3196,Necklace,IMG_3111_83880235_JPG.rf.8f8300b7b1d3796dfb09740877b9bc2c.jpg,f859b14d4e403f78b895bd423e3ae5823baf06531edf4bc5afbe001e3c230e1d,train,4089,Pendant,IMG_2943_c72380bb_jpg.rf.1a29a3265fa010a087e6d53a6b0f53f4.jpg,73a996e806921c9550f31dd937ded21a65f574b11d1a90747b766eb641b48176,False
exact_or_same_phash,,train,20,Bracelet,IMG_0430-1-_e8eb3b89_JPG.rf.b97c9cf9690748e15eb4e59fd0777e25.jpg,fa9a11bd3820ac31be830266e9b0a361151aa6b31e75cfa1017df6ec5485c817,train,187,Bracelet,IMG_2484_0c19ce0b_JPG.rf.a188e4406f4495ead079f9fa6d7520e5.jpg,9d7f98b64c0c318fd2e01b827d12e29e49d9291522abbde04e268dd99c793dd4,False
exact_or_same_phash,,train,187,Bracelet,IMG_2484_0c19ce0b_JPG.rf.a188e4406f4495ead079f9fa6d7520e5.jpg,9d7f98b64c0c318fd2e01b827d12e29e49d9291522abbde04e268dd99c793dd4,train,269,Bracelet,IMG_3063_f2672d8c_JPG.rf.e45ee05f0573d3fb4cf73a025b8d740e.jpg,6076f198a5bf7ad1957964c6706ca7bf318f265c079ec6218e0eb7905b2b63dd,False
